r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,ping,N/A,Fallido
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,puerto,21,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,puerto,22,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,puerto,1521,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,puerto,6200,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,puerto,8010,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,puerto,39001,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,puerto,39002,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,puerto,39003,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,puerto,39004,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,puerto,39005,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,puerto,47632,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.98.226,puerto,48000,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,ping,N/A,Fallido
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,puerto,21,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,puerto,22,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,puerto,1521,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,puerto,6200,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,puerto,8010,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,puerto,39001,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,puerto,39002,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,puerto,39003,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,puerto,39004,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,puerto,39005,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,puerto,47632,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.81,puerto,48000,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.20,ping,N/A,Fallido
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.20,puerto,21,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.20,puerto,22,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.20,puerto,1521,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.20,puerto,6200,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.20,puerto,8010,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.20,puerto,39001,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.20,puerto,39002,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.20,puerto,39003,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.20,puerto,39004,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.20,puerto,39005,Cerrado
r740-rac-geoposn1,192.168.250.70,255.255.255.0,192.168.71.1,172.25.84.20,puerto,47632,Cerrado
