host,ip,device,used_pct,mount
albu2-bk,10.125.3.8,/dev/mapper/rootVG-data,72,/data
ktbuc-bk,10.129.3.5,/dev/mapper/rootVG-data,74,/data
ktmos-bk,10.145.3.7,/dev/mapper/rootVG-geopos2,74,/geopos2
ktsoa-bk,10.46.3.8,/dev/mapper/rootVG-data,77,/data
ktuno-n1,10.147.3.5,/dev/mapper/rootVG-data,74,/data
ak170-n0,172.16.10.9,/dev/mapper/rootVG-data,70,/data
akbol-n0,172.16.6.15,/dev/mapper/rootVG-data,78,/data
akcal-n0,172.16.78.7,/dev/mapper/rootVG-data,72,/data
akper-n0,172.16.9.7,/dev/mapper/rootVG-srv,74,/srv
akvil-n0,172.16.3.10,/dev/mapper/rootVG-data,80,/data
Akyop-n0,10.121.0.9,/dev/mapper/rootVG-data,70,/data
alka1-n0,10.206.42.11,efivarfs,73,/sys/firmware/efi/efivars
almay-n0,10.87.0.3,/dev/mapper/rootVG-data,70,/data
alrio-n0,10.98.0.5,/dev/mapper/rootVG-data,71,/data
fofon-n0,10.95.3.5,/dev/mapper/rootVG-root,74,/
ktjul-n0,10.127.0.12,/dev/mapper/rootVG-data,71,/data
